transaction_id,account_id,timestamp,amount,merchant,category,location,status
TXN0001,ACC2940,2/15/2024 9:06,14.98,Theme Park,Entertainment,Nashville,completed
TXN0002,ACC4995,2/15/2024 9:14,34.1,Steam,Entertainment,Lagos,completed
TXN0003,ACC8671,2/15/2024 9:24,3534.86,Mortgage Payment,Housing,Mumbai,pending
TXN0004,ACC3316,2/15/2024 9:28,233.76,Doctor Visit,Healthcare,Amsterdam,completed
TXN0005,ACC7747,2/15/2024 9:40,65.13,Shell Gas,Transportation,Atlanta,completed
TXN0006,ACC5634,2/15/2024 9:46,11947.29,MoneyGram,Transfer,Dubai,completed
TXN0007,ACC7747,2/15/2024 9:45,1139.18,Rite Aid,Healthcare,Charlotte,completed
TXN0008,ACC9226,2/15/2024 10:01,99.1,Five Guys,Food,Portland,completed
TXN0009,ACC4840,2/15/2024 10:06,46.96,Domino's,Food,Charlotte,completed
TXN0010,ACC2326,2/15/2024 10:15,1859.07,Rent Payment,Housing,Bangkok,completed
TXN0011,ACC5131,2/15/2024 10:13,11.09,Car Wash,Transportation,Las Vegas,completed
TXN0012,ACC8377,2/15/2024 10:24,231.04,Water Bill,Utilities,Toronto,flagged
TXN0013,ACC3316,2/15/2024 10:33,389.17,Samsung Store,Electronics,Lagos,completed
TXN0014,ACC3316,2/15/2024 10:36,79.3,Panera Bread,Food,San Diego,pending
TXN0015,ACC3486,2/15/2024 10:42,917.99,Property Tax,Housing,Paris,pending
TXN0016,ACC6535,2/15/2024 10:50,11.75,Movie Theater,Entertainment,Denver,completed
TXN0017,ACC8463,2/15/2024 10:54,34.94,Theme Park,Entertainment,Rome,completed
TXN0018,ACC5915,2/15/2024 11:10,1919.69,Microsoft Store,Electronics,Mumbai,pending
TXN0019,ACC6910,2/15/2024 11:14,1193.6,Microsoft Store,Electronics,Philadelphia,completed
TXN0020,ACC6651,2/15/2024 11:21,169.89,Internet Provider,Utilities,Los Angeles,completed
TXN0021,ACC9338,2/15/2024 11:30,216.27,Cable TV,Utilities,Denver,flagged
TXN0022,ACC2225,2/15/2024 11:36,68.53,Uber,Transportation,Rome,flagged
TXN0023,ACC6078,2/15/2024 11:38,136.26,Costco,Shopping,Philadelphia,completed
TXN0024,ACC2539,2/15/2024 11:43,121.56,Burger King,Food,Toronto,completed
TXN0025,ACC8952,2/15/2024 11:54,29.97,Walmart,Shopping,New York,completed
TXN0026,ACC9607,2/15/2024 12:01,18.44,Xbox Store,Entertainment,Amsterdam,flagged
TXN0027,ACC9562,2/15/2024 12:05,8782.84,Cash App,Transfer,Portland,completed
TXN0028,ACC8408,2/15/2024 12:20,1049.49,Samsung Store,Electronics,Philadelphia,completed
TXN0029,ACC1411,2/15/2024 12:21,188.33,Nordstrom,Shopping,Phoenix,completed
TXN0030,ACC4477,2/15/2024 12:27,139.81,Five Guys,Food,Tampa,completed
TXN0031,ACC2326,2/15/2024 12:35,2886.15,Property Tax,Housing,Mexico City,pending
TXN0032,ACC7510,2/15/2024 12:45,2575.91,Mortgage Payment,Housing,Charlotte,completed
TXN0033,ACC8408,2/15/2024 12:50,26.81,Car Rental,Transportation,Portland,completed
TXN0034,ACC2952,2/15/2024 13:00,224.63,CVS Pharmacy,Healthcare,Rome,completed
TXN0035,ACC5034,2/15/2024 13:03,12092.7,Zelle,Transfer,Amsterdam,completed
TXN0036,ACC4642,2/15/2024 13:16,303.46,Theme Park,Entertainment,Houston,pending
TXN0037,ACC7906,2/15/2024 13:16,2433.83,eBay,Shopping,Madrid,flagged
TXN0038,ACC9727,2/15/2024 13:28,30.99,BP Gas,Transportation,Charlotte,completed
TXN0039,ACC7559,2/15/2024 13:38,749.77,Western Union,Transfer,Rome,completed
TXN0040,ACC9334,2/15/2024 13:39,42.82,Shell Gas,Transportation,Seattle,completed
TXN0041,ACC6517,2/15/2024 13:48,9425.18,Cash App,Transfer,Chicago,completed
TXN0042,ACC3647,2/15/2024 13:49,192.29,Zara,Shopping,Miami,completed
TXN0043,ACC3997,2/15/2024 13:56,1217.42,Samsung Store,Electronics,Bangkok,flagged
TXN0044,ACC2465,2/15/2024 14:05,32.61,Disney+,Entertainment,Boston,completed
TXN0045,ACC3486,2/15/2024 14:13,3776.98,HOA Fee,Housing,Portland,completed
TXN0046,ACC1068,2/15/2024 14:18,2128.35,Apple Store,Electronics,Los Angeles,completed
TXN0047,ACC4848,2/15/2024 14:26,306.47,Walgreens,Healthcare,Chicago,completed
TXN0048,ACC8390,2/15/2024 14:41,291.15,Phone Bill,Utilities,San Diego,completed
TXN0049,ACC8635,2/15/2024 14:47,79.76,Parking,Transportation,Mexico City,completed
TXN0050,ACC3779,2/15/2024 14:54,1681.83,Microsoft Store,Electronics,San Diego,pending
TXN0051,ACC2589,2/15/2024 15:01,21.38,Concert Tickets,Entertainment,Berlin,completed
TXN0052,ACC8405,2/15/2024 15:07,264.41,Solar Payment,Utilities,San Antonio,completed
TXN0053,ACC3665,2/15/2024 15:12,36.52,Spotify,Entertainment,Denver,pending
TXN0054,ACC2326,2/15/2024 15:16,3872.04,HOA Fee,Housing,Bangkok,pending
TXN0055,ACC6494,2/15/2024 15:27,322.2,Trash Service,Utilities,Dallas,pending
TXN0056,ACC9265,2/15/2024 15:35,43.49,Home Depot,Shopping,Rome,pending
TXN0057,ACC6044,2/15/2024 15:39,1066.01,Maintenance Fee,Housing,San Francisco,completed
TXN0058,ACC1419,2/15/2024 15:42,23.85,Gaming Store,Entertainment,Cleveland,completed
TXN0059,ACC4104,2/15/2024 15:49,8886.66,Cash App,Transfer,Boston,completed
TXN0060,ACC4477,2/15/2024 16:04,31.85,Nordstrom,Shopping,Cleveland,pending
TXN0061,ACC5647,2/15/2024 16:02,1031.33,Gym Membership,Healthcare,Minneapolis,pending
TXN0062,ACC1876,2/15/2024 16:10,78.59,Car Rental,Transportation,Amsterdam,completed
TXN0063,ACC8530,2/15/2024 16:20,349.18,Phone Bill,Utilities,Lagos,completed
TXN0064,ACC6044,2/15/2024 16:33,99.51,Zara,Shopping,Tampa,pending
TXN0065,ACC7074,2/15/2024 16:38,77.55,Uber,Transportation,Detroit,completed
TXN0066,ACC4157,2/15/2024 16:44,17.6,Target,Shopping,Lagos,pending
TXN0067,ACC9265,2/15/2024 16:45,402.59,Gaming Store,Entertainment,San Diego,completed
TXN0068,ACC3683,2/15/2024 16:59,54.35,Walmart,Shopping,Toronto,flagged
TXN0069,ACC7056,2/15/2024 17:02,95.82,Target,Shopping,Mumbai,flagged
TXN0070,ACC8952,2/15/2024 17:12,18.2,Lyft,Transportation,Chicago,completed
TXN0071,ACC2326,2/15/2024 17:21,1277.05,GameStop,Electronics,Dallas,completed
TXN0072,ACC5032,2/15/2024 17:22,1041.47,Walgreens,Healthcare,San Antonio,flagged
TXN0073,ACC9265,2/15/2024 17:27,238.25,Amazon,Shopping,Madrid,completed
TXN0074,ACC3683,2/15/2024 17:39,590.68,Physical Therapy,Healthcare,New York,completed
TXN0075,ACC5258,2/15/2024 17:48,2216.8,Micro Center,Electronics,San Antonio,pending
TXN0076,ACC2539,2/15/2024 17:48,3262.02,Home Insurance,Housing,Nashville,completed
TXN0077,ACC9727,2/15/2024 18:03,1436.68,Microsoft Store,Electronics,Las Vegas,pending
TXN0078,ACC2952,2/15/2024 18:09,231.59,Dental Office,Healthcare,Dubai,completed
TXN0079,ACC9727,2/15/2024 18:09,513.57,B&H Photo,Electronics,Berlin,completed
TXN0080,ACC3757,2/15/2024 18:17,65.82,Toll Road,Transportation,Amsterdam,completed
TXN0081,ACC5946,2/15/2024 18:31,532.4,Rite Aid,Healthcare,Dallas,flagged
TXN0082,ACC1186,2/15/2024 18:29,193.77,Costco,Shopping,Seattle,completed
TXN0083,ACC1352,2/15/2024 18:41,555.03,Apple Store,Electronics,Austin,completed
TXN0084,ACC7561,2/15/2024 18:50,98.42,Lab Test,Healthcare,Tampa,pending
TXN0085,ACC8536,2/15/2024 18:52,1261.26,B&H Photo,Electronics,Tampa,completed
TXN0086,ACC1594,2/15/2024 19:04,221.34,Amazon,Shopping,Amsterdam,completed
TXN0087,ACC8490,2/15/2024 19:12,370.22,Solar Payment,Utilities,Tampa,completed
TXN0088,ACC6883,2/15/2024 19:17,39.95,Parking,Transportation,Tokyo,completed
TXN0089,ACC6535,2/15/2024 19:24,263.04,Physical Therapy,Healthcare,Los Angeles,completed
TXN0090,ACC3486,2/15/2024 19:33,110.16,Apple Store,Shopping,Sydney,completed
TXN0091,ACC9562,2/15/2024 19:42,118.67,Wendy's,Food,Singapore,pending
TXN0092,ACC7885,2/15/2024 19:39,3508.88,Home Insurance,Housing,Boston,completed
TXN0093,ACC8530,2/15/2024 19:47,1399.9,CVS Pharmacy,Healthcare,Houston,completed
TXN0094,ACC8390,2/15/2024 19:55,88.36,Dunkin',Food,Miami,completed
TXN0095,ACC1436,2/15/2024 20:09,250.05,Costco,Shopping,Berlin,pending
TXN0096,ACC7747,2/15/2024 20:15,342.73,Dental Office,Healthcare,Las Vegas,completed
TXN0097,ACC1763,2/15/2024 20:16,11735.84,MoneyGram,Transfer,New York,flagged
TXN0098,ACC3757,2/15/2024 20:28,39.72,Panera Bread,Food,Miami,completed
TXN0099,ACC7465,2/15/2024 20:30,58.4,Chipotle,Food,Dubai,completed
TXN0100,ACC5389,2/15/2024 20:42,41.51,Toll Road,Transportation,Portland,completed
TXN0101,ACC8490,2/15/2024 20:42,73.35,Solar Payment,Utilities,Orlando,completed
TXN0102,ACC9607,2/15/2024 20:57,1331.78,Doctor Visit,Healthcare,Las Vegas,flagged
TXN0103,ACC5258,2/15/2024 20:56,540.36,Best Buy,Electronics,Phoenix,completed
TXN0104,ACC1436,2/15/2024 21:08,1552.68,GameStop,Electronics,Chicago,completed
TXN0105,ACC9416,2/15/2024 21:13,70.19,Starbucks,Food,Minneapolis,completed
TXN0106,ACC7181,2/15/2024 21:17,737.95,Samsung Store,Electronics,Sydney,completed
TXN0107,ACC6047,2/15/2024 21:31,1287.25,Newegg,Electronics,Miami,completed
TXN0108,ACC4771,2/15/2024 21:41,85.36,Internet Provider,Utilities,Sydney,completed
TXN0109,ACC7501,2/15/2024 21:46,112.6,Gas Company,Utilities,Bangkok,flagged
TXN0110,ACC9939,2/15/2024 21:47,10091.65,Wire Transfer,Transfer,Portland,completed
TXN0111,ACC9872,2/15/2024 21:52,26.37,Theme Park,Entertainment,Lagos,completed
TXN0112,ACC6044,2/15/2024 22:03,23.57,Parking,Transportation,Tampa,completed
TXN0113,ACC6311,2/15/2024 22:08,987.54,Wire Transfer,Transfer,San Diego,completed
TXN0114,ACC6044,2/15/2024 22:20,3130.81,Western Union,Transfer,Orlando,pending
TXN0115,ACC9215,2/15/2024 22:20,27.3,Gaming Store,Entertainment,Miami,completed
TXN0116,ACC8490,2/15/2024 22:33,20.71,KFC,Food,Austin,completed
TXN0117,ACC3597,2/15/2024 22:35,1292.29,Physical Therapy,Healthcare,Cleveland,completed
